First_pokemon,Second_pokemon,Winner
173,463,463
174,307,307
772,181,772
430,356,430
519,695,519
51,709,709
393,544,544
407,182,407
83,464,464
11,312,11
495,418,418
707,508,508
661,384,384
722,524,524
119,325,119
524,529,524
190,371,371
249,47,249
358,503,503
145,742,742
692,393,692
716,673,716
507,475,475
10,562,562
392,443,443
503,367,503
634,13,13
772,320,772
44,42,44
633,567,633
237,268,268
486,650,650
789,690,690
677,429,429
679,166,679
742,310,742
149,764,764
433,418,418
176,602,602
789,742,742
758,613,613
754,630,630
448,163,163
329,474,474
416,535,535
281,310,281
589,108,108
209,198,209
552,719,552
387,797,797
510,228,228
94,395,94
180,65,65
40,478,478
86,235,235
323,290,323
740,440,740
187,501,501
629,128,629
568,495,495
705,309,705
113,303,303
99,640,99
27,666,27
53,578,53
425,276,276
369,266,369
242,661,242
509,199,509
227,168,168
570,114,570
491,724,491
667,297,297
240,160,160
756,668,756
765,793,793
380,740,740
115,486,115
640,758,758
736,219,219
739,569,569
573,195,573
717,493,717
672,579,672
148,561,148
520,54,520
275,7,275
791,448,448
667,279,279
54,507,507
111,433,111
601,713,713
223,80,80
185,394,394
291,121,291
231,180,180
187,749,749
115,654,654
712,404,712
628,309,628
85,687,85
294,14,14
769,169,169
167,795,795
460,365,365
52,35,35
1,338,338
559,62,62
80,379,80
791,95,95
530,673,673
611,669,611
435,565,565
422,543,422
95,446,446
713,506,713
127,661,127
387,385,385
283,444,444
674,603,674
364,68,68
467,325,467
320,510,320
719,534,534
206,600,600
386,384,384
545,223,545
733,684,684
335,555,555
446,321,446
695,557,557
265,616,616
200,719,200
641,565,565
691,291,291
639,132,132
454,223,223
581,48,581
212,592,212
547,657,547
64,31,31
466,757,466
279,682,682
470,3,3
61,555,61
30,587,30
733,701,701
512,40,40
741,406,741
276,29,276
547,243,547
499,774,499
551,467,467
498,98,498
505,448,505
50,315,315
545,35,545
116,594,116
789,424,424
374,563,563
660,500,500
638,142,142
118,684,684
241,544,544
569,744,569
67,310,67
191,278,278
188,55,55
383,207,383
566,422,422
403,583,583
166,138,138
375,282,375
238,716,716
27,798,798
68,541,541
779,505,505
760,310,760
598,412,598
596,95,95
297,131,131
97,453,97
214,351,214
584,737,584
395,580,580
76,451,451
136,666,136
524,719,524
732,439,732
737,52,737
132,497,132
255,708,708
278,585,278
537,323,537
732,550,732
745,234,234
390,290,390
692,463,692
342,108,342
383,744,383
208,114,114
219,795,795
175,480,480
476,337,476
706,311,706
429,323,429
555,487,555
281,653,281
250,430,430
667,645,645
300,111,300
730,93,93
387,710,710
483,22,483
594,701,701
791,714,714
727,393,727
285,676,676
600,534,534
115,257,115
586,566,586
713,464,713
447,148,148
325,674,674
379,42,42
746,252,746
745,415,745
403,145,145
361,463,463
185,675,185
223,697,697
81,609,609
334,295,295
795,225,795
562,225,562
733,665,665
573,228,228
181,662,181
225,726,726
558,292,558
152,654,152
17,38,38
323,149,149
290,188,188
575,96,575
579,691,691
209,745,745
648,641,648
42,586,42
778,120,778
38,548,548
152,615,152
452,214,214
627,757,757
191,131,131
89,564,89
697,380,697
629,242,629
270,368,270
605,226,605
389,256,256
108,592,108
610,275,275
762,520,520
486,554,554
162,401,162
117,492,492
11,109,109
10,296,296
420,348,348
95,467,467
432,532,532
745,756,745
195,425,425
615,136,136
255,152,255
731,788,731
765,277,765
799,722,799
85,250,85
313,257,313
660,29,29
572,641,572
407,428,428
441,763,441
379,126,126
740,679,679
413,164,164
734,190,734
705,10,705
558,233,233
702,389,702
615,461,615
459,80,80
326,735,735
720,48,48
272,297,272
304,522,522
355,548,548
317,677,677
598,436,598
478,630,478
665,180,180
202,534,534
58,595,595
593,566,566
436,336,336
104,105,104
179,694,694
131,418,131
248,154,154
256,295,295
628,257,257
312,731,731
722,91,91
145,625,625
389,458,458
453,76,453
180,625,625
614,334,614
42,166,166
689,80,80
438,138,438
677,430,430
8,257,8
613,157,157
468,342,342
476,719,476
50,566,566
741,612,612
656,96,656
297,97,97
313,679,679
26,19,26
466,103,103
99,464,99
333,245,245
197,128,128
54,783,783
324,559,559
67,123,67
36,566,36
373,254,254
599,92,92
552,590,552
430,399,430
61,783,61
447,176,447
259,650,259
799,272,272
742,57,742
773,774,773
424,135,135
132,350,350
172,267,172
586,444,444
152,776,776
536,629,629
536,422,422
520,378,520
730,649,649
16,621,16
464,434,464
488,395,488
153,30,30
501,94,501
731,349,349
19,377,377
75,141,141
480,488,480
447,108,108
773,527,773
799,669,799
130,644,130
570,252,570
614,250,614
399,270,270
520,786,786
449,406,449
72,688,688
702,227,702
117,538,538
795,17,795
796,300,300
563,52,563
17,3,3
288,521,288
117,361,361
784,401,401
277,200,200
659,380,380
285,27,27
369,63,63
147,28,147
522,574,574
532,659,532
612,619,612
72,189,72
384,500,384
49,437,437
518,178,518
490,377,490
711,588,588
100,652,652
165,440,165
489,326,326
581,135,135
557,741,557
756,569,756
399,468,468
438,188,438
266,288,288
584,62,62
162,753,753
352,244,244
163,719,163
3,677,677
70,688,688
552,659,552
429,533,429
312,213,213
17,474,474
473,41,473
16,504,16
472,388,388
134,468,134
533,475,533
93,680,93
450,156,450
461,309,309
560,223,223
414,26,414
764,473,473
137,445,137
204,334,334
238,792,792
180,549,549
661,95,95
367,195,367
