imdbId,Action,Adventure,Animation,Comedy,Drama,Horror,Romance
986264,0,0,0,0,1,0,0
1379182,0,0,0,0,1,0,0
361748,0,1,0,0,1,0,0
4175888,0,0,0,0,0,1,0
284445,1,1,0,0,0,1,0
2381991,1,1,0,0,1,0,0
3400980,0,0,0,1,0,1,0
1015474,0,0,0,0,0,1,0
806029,0,0,0,0,1,0,1
476550,0,0,0,1,1,0,0
2296819,0,0,1,0,1,0,0
1173745,0,0,0,0,1,0,1
1446695,0,0,0,0,1,0,0
1413493,0,0,0,0,0,0,1
1493842,0,0,0,1,0,0,1
2180994,0,0,0,0,1,0,0
2281159,0,0,0,0,1,1,0
2107835,0,0,0,1,1,0,1
1650554,1,0,0,1,0,0,0
1891905,0,1,1,1,0,0,0
1969062,0,0,0,1,1,0,1
284655,0,0,0,0,1,0,0
3036548,0,0,0,0,0,1,1
258038,0,1,0,1,0,0,0
1549571,0,0,0,0,1,0,0
1720254,0,0,0,1,1,0,1
4104022,0,0,0,1,0,0,1
1464174,1,0,0,1,0,0,0
266697,1,0,0,0,0,0,0
1272013,0,0,0,1,0,0,1
371922,0,0,0,0,0,1,1
486578,0,0,0,1,1,0,0
455906,0,0,0,1,0,0,0
3671542,0,0,0,0,1,0,1
900387,0,0,0,0,1,0,1
3043386,0,1,0,1,0,0,0
3541262,0,1,0,0,0,0,0
1414867,0,0,0,1,0,0,1
367174,0,0,0,1,1,0,1
1288403,1,1,0,0,0,0,0
325352,0,0,0,1,0,0,1
1181840,0,1,1,0,1,0,0
281373,0,1,0,1,0,0,0
1698641,0,0,0,1,0,0,0
1961438,0,0,0,0,1,0,0
2106671,0,0,0,0,1,0,0
416938,0,0,1,1,0,0,0
2715446,0,0,0,1,1,0,1
942384,0,0,0,0,1,0,1
1091229,1,1,0,1,0,0,0
3877296,0,0,0,0,1,0,0
3129564,0,0,0,0,1,0,0
449994,1,1,0,0,0,0,0
409724,0,0,0,0,1,0,0
3416532,0,0,0,0,1,0,0
3722070,0,0,0,1,1,0,0
2554842,0,0,0,0,1,1,0
455135,0,0,0,1,0,1,0
236493,0,1,0,1,0,0,0
1821355,0,0,0,0,1,0,0
1133995,1,0,0,0,0,0,0
430063,0,0,0,0,1,0,0
339642,0,0,0,1,1,0,0
3486392,0,0,0,1,0,0,0
1674246,0,0,0,0,1,0,0
2195548,0,0,0,1,1,0,0
804555,0,0,0,0,0,1,0
427968,0,0,0,1,1,0,1
1638353,0,0,0,0,1,0,0
403360,0,0,0,0,1,0,1
1518812,0,0,0,0,1,0,0
259484,1,0,0,0,1,0,0
280453,1,1,0,0,0,0,0
1100089,0,0,0,0,1,0,0
1349482,0,0,0,1,0,0,0
896872,1,0,0,0,0,0,0
379889,0,0,0,0,1,0,1
2446040,0,1,1,0,0,0,0
2772092,0,0,0,0,0,1,0
439815,0,0,0,1,0,1,0
471957,0,0,0,0,1,0,1
3100678,0,0,0,0,1,0,0
1691917,0,1,1,1,0,0,0
1846444,1,0,0,0,0,0,0
436460,0,0,0,0,1,0,1
256341,1,0,0,1,1,0,0
385586,0,0,1,1,0,0,0
2249221,0,0,0,0,1,0,0
1989475,0,0,0,0,0,1,0
456413,1,0,0,1,0,0,0
452226,0,0,1,1,0,0,0
454224,0,0,0,0,0,1,0
371530,0,0,0,1,0,1,0
351887,1,0,0,1,0,1,0
497137,0,0,0,1,1,0,1
476323,0,0,0,1,1,0,0
2402985,0,0,0,1,1,0,0
2974918,0,1,1,1,0,0,0
