,"NewsGuard, Does not repeatedly publish false content","NewsGuard, Gathers and presents information responsibly","NewsGuard, Regularly corrects or clarifies errors","NewsGuard, Handles the difference between news and opinion responsibly","NewsGuard, Avoids deceptive headlines","NewsGuard, Website discloses ownership and financing","NewsGuard, Clearly labels advertising","NewsGuard, Reveals who's in charge, including any possible conflicts of interest","NewsGuard, Provides information about content creators","NewsGuard, score","NewsGuard, overall_class","Pew Research Center, known_by_40%","Pew Research Center, total","Pew Research Center, consistently_liberal","Pew Research Center, mostly_liberal","Pew Research Center, mixed","Pew Research Center, mostly conservative","Pew Research Center, consistently conservative","Wikipedia, is_fake","Open Sources, reliable","Open Sources, fake","Open Sources, unreliable","Open Sources, bias","Open Sources, conspiracy","Open Sources, hate","Open Sources, junksci","Open Sources, rumor","Open Sources, blog","Open Sources, clickbait","Open Sources, political","Open Sources, satire","Open Sources, state","Media Bias / Fact Check, label","Media Bias / Fact Check, factual_reporting","Media Bias / Fact Check, extreme_left","Media Bias / Fact Check, right","Media Bias / Fact Check, extreme_right","Media Bias / Fact Check, propaganda","Media Bias / Fact Check, fake_news","Media Bias / Fact Check, some_fake_news","Media Bias / Fact Check, failed_fact_checks","Media Bias / Fact Check, conspiracy","Media Bias / Fact Check, pseudoscience","Media Bias / Fact Check, hate_group","Media Bias / Fact Check, anti_islam","Media Bias / Fact Check, nationalism","Allsides, bias_rating","Allsides, community_agree","Allsides, community_disagree","Allsides, community_label","BuzzFeed, leaning","PolitiFact, Pants on Fire!","PolitiFact, False","PolitiFact, Mostly False","PolitiFact, Half-True","PolitiFact, Mostly True","PolitiFact, True"
21stCenturyWire,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,conspiracy_pseudoscience,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
ABC News,0,0,0,0,0,0,0,1,0,95,1,1,1,1,1,1,1,-1,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,8964,6949,somewhat agree,,,,,,,
AMERICAblog News,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,left,,,,,,
Activist Post,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,conspiracy_pseudoscience,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
Addicting Info,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
Al Jazeera,0,1,0,1,0,1,0,1,1,52,0,1,-1,1,0,-1,-1,-1,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,2204,3249,somewhat disagree,,0,1,0,0,0,0
Alternet,0,0,0,1,0,0,0,0,0,87.5,1,,,,,,,,,2,,,,,,,,,,1,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Left,1314,595,strongly agree,left,,,,,,
Anonymous Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,0,0,0,0,0,0,0,0,0,100,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,7527,7177,somewhat agree,,,,,,,
BBC UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
